Airlines,Date_of_Journey,Source,Destination,Dep_times,Arrival_time,Duration,Stops,Price
IndiGo,10/11/2021,New Delhi,Mumbai,6:05,16:05,10h 00m,1 Stop,6443
IndiGo,10/11/2021,New Delhi,Mumbai,12:55,23:15,10h 20m,1 Stop,6506
Go First,10/11/2021,New Delhi,Mumbai,14:20,16:35,2h 15m,Non Stop,6532
Air Asia,10/11/2021,New Delhi,Mumbai,20:00,22:15,2h 15m,Non Stop,6559
IndiGo,10/11/2021,New Delhi,Mumbai,12:00,14:10,2h 10m,Non Stop,6585
IndiGo,10/11/2021,New Delhi,Mumbai,17:15,19:25,2h 10m,Non Stop,6585
IndiGo,10/11/2021,New Delhi,Mumbai,18:35,20:50,2h 15m,Non Stop,6585
SpiceJet,10/11/2021,New Delhi,Mumbai,12:00,13:15,25h 15m,1 Stop,6585
Air India,10/11/2021,New Delhi,Mumbai,5:55,23:25,17h 30m,1 Stop,6763
Air India,10/11/2021,New Delhi,Mumbai,20:00,22:10,2h 10m,Non Stop,6795
SpiceJet,10/11/2021,New Delhi,Mumbai,11:20,18:00,6h 40m,1 Stop,6901
SpiceJet,10/11/2021,New Delhi,Mumbai,19:00,10:35,15h 35m,1 Stop,6901
IndiGo,10/11/2021,New Delhi,Mumbai,13:30,20:20,6h 50m,1 Stop,6932
IndiGo,10/11/2021,New Delhi,Mumbai,13:30,23:10,9h 40m,1 Stop,6932
IndiGo,10/11/2021,New Delhi,Mumbai,21:20,07:06,9h 45m,1 Stop,6932
IndiGo,10/11/2021,New Delhi,Mumbai,17:55,23:15,5h 20m,1 Stop,7005
Air Asia,10/11/2021,New Delhi,Mumbai,9:35,20:35,11h 00m,1 Stop,7007
IndiGo,10/11/2021,New Delhi,Mumbai,11:25,16:40,5h 15m,1 Stop,7420
IndiGo,10/11/2021,New Delhi,Mumbai,12:55,20:45,7h 50m,1 Stop,7420
IndiGo,10/11/2021,New Delhi,Mumbai,11:25,20:20,8h 55m,1 Stop,7420
Air India,10/11/2021,New Delhi,Mumbai,19:00,15:55,20h 50m,1 Stop,7793
IndiGo,10/11/2021,New Delhi,Mumbai,18:00,22:25,4h 25m,1 Stop,7908
Air India,10/11/2021,New Delhi,Mumbai,11:55,15:50,3h 55m,1 Stop,7930
IndiGo,10/11/2021,New Delhi,Mumbai,10:15,18:05,7h 50m,1 Stop,8396
IndiGo,10/11/2021,New Delhi,Mumbai,20:20,05:55,9h 35m,1 Stop,8396
Air India,10/11/2021,New Delhi,Mumbai,6:05,15:50,9h 45m,1 Stop,8475
Go First,10/11/2021,New Delhi,Mumbai,6:00,10:40,4h 40m,1 Stop,8869
Go First,10/11/2021,New Delhi,Mumbai,15:30,21:25,5h 55m,1 Stop,8869
Go First,10/11/2021,New Delhi,Mumbai,6:00,12:30,6h 30m,1 Stop,8869
IndiGo,10/11/2021,New Delhi,Mumbai,5:30,10:55,5h 25m,1 Stop,8885
Air India,10/11/2021,New Delhi,Mumbai,5:15,16:25,11h 10m,2 Stop(s),9041
IndiGo,10/11/2021,New Delhi,Mumbai,18:30,23:10,4h 40m,1 Stop,9373
IndiGo,10/11/2021,New Delhi,Mumbai,13:50,19:50,6h 00m,1 Stop,9389
Vistara,10/11/2021,New Delhi,Mumbai,17:40,23:00,5h 20m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,7:05,14:30,7h 25m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,20:35,10:00,13h 25m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,7:05,23:00,15h 55m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,17:40,10:00,16h 20m,1 Stop,984
Vistara,10/11/2021,New Delhi,Mumbai,20:35,14:30,17h 55m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,17:40,14:30,20h 50m,1 Stop,9840
Vistara,10/11/2021,New Delhi,Mumbai,20:35,23:00,26h 25m,1 Stop,9840
Air India,10/11/2021,New Delhi,Mumbai,21:10,09:40,12h 30m,1 Stop,9889
Vistara,10/11/2021,New Delhi,Mumbai,10:55,16:00,5h 05m,1 Stop,9893
